numero_dpe,date_etablissement_dpe,date_fin_validite_dpe,etiquette_dpe,etiquette_ges,type_batiment,periode_construction,surface_habitable_logement,nom_commune_ban,code_insee_ban,conso_5_usages_par_m2_ep,type_parc,station
2673E0041147P,2026-01-07,2036-01-06,E,B,appartement,1975-1977,33.1,Peisey-Nancroix,73197,265.5,existant,Peisey-Vallandry
2673E0028193J,2026-01-06,2036-01-05,D,B,appartement,2013-2021,69.8,Montvalezan,73176,225.0,existant,La Rosière
2673E0034803P,2026-01-07,2036-01-06,G,G,appartement,1948-1974,52.4,Tignes,73296,348.6,existant,Tignes
2673E0029838Q,2026-01-07,2036-01-06,E,C,maison,avant 1948,64.8,Sainte-Foy-Tarentaise,73232,297.0,existant,Sainte-Foy
2673E0066834O,2026-01-10,2036-01-09,E,E,appartement,1975-1977,59.6,Tignes,73296,164.0,existant,Tignes
2673E0030569T,2026-01-07,2036-01-06,E,C,appartement,2001-2005,44.5,Sainte-Foy-Tarentaise,73232,292.0,existant,Sainte-Foy
2673E0005812O,2026-01-03,2036-01-02,C,B,appartement,1989-2000,60.9,Bourg-Saint-Maurice,73054,177.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0034747L,2026-01-07,2036-01-06,G,G,appartement,1948-1974,49.3,Tignes,73296,350.4,existant,Tignes
2673E0034789B,2026-01-07,2036-01-06,G,G,appartement,1948-1974,35.8,Tignes,73296,358.9,existant,Tignes
2673E0034806S,2026-01-07,2036-01-06,G,G,appartement,1948-1974,37.0,Tignes,73296,357.9,existant,Tignes
2673E0045394Y,2026-01-08,2036-01-07,E,C,appartement,1989-2000,119.4,Val-D-Isère,73304,333.3,existant,Val d'Isère
2673E0005426S,2026-01-03,2036-01-02,G,G,appartement,1948-1974,104.8,Bourg-Saint-Maurice,73054,638.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0038070G,2026-01-07,2036-01-06,E,C,appartement,1948-1974,65.2,Bourg-Saint-Maurice,73054,298.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0025858O,2026-01-06,2036-01-05,D,D,maison,avant 1948,217.0,Tignes,73296,176.0,existant,Tignes
2673E0034237V,2026-01-07,2036-01-06,G,C,appartement,1948-1974,49.5,La Plagne Tarentaise,73150,513.0,existant,La Plagne
2673E0054163F,2026-01-09,2036-01-08,E,C,maison,1948-1974,129.8,Tignes,73296,316.0,existant,Tignes
2673E0079567H,2026-01-12,2036-01-11,D,B,appartement,2001-2005,81.1,La Plagne Tarentaise,73150,240.0,existant,La Plagne
2673E0034786Y,2026-01-07,2036-01-06,G,G,appartement,1948-1974,40.9,Tignes,73296,355.0,existant,Tignes
2673E0034762A,2026-01-07,2036-01-06,G,G,appartement,1948-1974,52.2,Tignes,73296,348.7,existant,Tignes
2673E0013236C,2026-01-05,2036-01-04,E,C,appartement,1989-2000,27.5,Bourg-Saint-Maurice,73054,377.2,existant,Les Arcs / Bourg-Saint-Maurice
2673E0031374S,2026-01-07,2036-01-06,E,C,appartement,1989-2000,25.6,Tignes,73296,323.0,existant,Tignes
2673E0034757V,2026-01-07,2036-01-06,G,G,appartement,1948-1974,54.5,Tignes,73296,347.4,existant,Tignes
2173E0390713G,2021-09-26,2031-09-25,D,B,appartement,2006-2012,35.9,Bourg-Saint-Maurice,73054,250.7,existant,Les Arcs / Bourg-Saint-Maurice
2673E0034791D,2026-01-07,2036-01-06,G,G,appartement,1948-1974,52.4,Tignes,73296,348.6,existant,Tignes
2673E0033070Y,2026-01-07,2036-01-06,F,F,appartement,1948-1974,28.0,Bourg-Saint-Maurice,73054,450.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0019219F,2026-01-06,2036-01-05,E,C,appartement,1978-1982,23.2,La Plagne Tarentaise,73150,358.0,existant,La Plagne
2673E0051456C,2026-01-08,2036-01-07,G,C,appartement,1983-1988,21.3,Tignes,73296,574.0,existant,Tignes
2673E0069786C,2026-01-12,2036-01-11,F,F,appartement,1948-1974,36.6,Val-D-Isère,73304,310.0,existant,Val d'Isère
2673E0018101F,2026-01-05,2036-01-04,E,C,appartement,1978-1982,34.3,La Plagne Tarentaise,73150,375.0,existant,La Plagne
2673E0037365D,2026-01-07,2036-01-06,E,E,appartement,1948-1974,37.1,Tignes,73296,257.0,existant,Tignes
2673E0045011F,2026-01-08,2036-01-07,F,F,appartement,1948-1974,29.1,Val-D-Isère,73304,353.1,existant,Val d'Isère
2673E0019409N,2026-01-06,2036-01-05,E,C,appartement,2001-2005,44.5,Sainte-Foy-Tarentaise,73232,304.0,existant,Sainte-Foy
2673E0066216U,2026-01-10,2036-01-09,D,D,appartement,1948-1974,50.3,Tignes,73296,163.0,existant,Tignes
2673E0034454E,2026-01-07,2036-01-06,E,C,appartement,1978-1982,22.4,La Plagne Tarentaise,73150,370.0,existant,La Plagne
2673E0042778I,2026-01-08,2036-01-07,E,D,appartement,1948-1974,17.4,La Plagne Tarentaise,73150,435.0,existant,La Plagne
2673E0005442I,2026-01-03,2036-01-02,E,C,appartement,1948-1974,17.3,La Plagne Tarentaise,73150,347.0,existant,La Plagne
2673E0034797J,2026-01-07,2036-01-06,G,G,appartement,1948-1974,52.4,Tignes,73296,348.6,existant,Tignes
2673E0034780S,2026-01-07,2036-01-06,G,G,appartement,1948-1974,35.7,Tignes,73296,359.0,existant,Tignes
2673E0000348K,2026-01-01,2035-12-31,G,G,appartement,1948-1974,104.8,Bourg-Saint-Maurice,73054,720.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0009239J,2026-01-05,2036-01-04,F,C,appartement,1989-2000,36.0,La Plagne Tarentaise,73150,408.0,existant,La Plagne
2673E0009884E,2026-01-05,2036-01-04,F,C,appartement,1983-1988,34.0,Bourg-Saint-Maurice,73054,474.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0000875R,2026-01-02,2036-01-01,E,C,appartement,1989-2000,44.7,Bourg-Saint-Maurice,73054,316.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0051770E,2026-01-08,2036-01-07,E,C,appartement,1978-1982,28.0,Bourg-Saint-Maurice,73054,381.0,existant,Les Arcs / Bourg-Saint-Maurice
2173E0418718J,2021-09-30,2031-09-29,E,B,appartement,1948-1974,22.7,La Plagne Tarentaise,73150,292.5,existant,La Plagne
2673E0000379P,2026-01-01,2035-12-31,D,B,appartement,1948-1974,53.8,La Plagne Tarentaise,73150,231.0,existant,La Plagne
2673E0051472S,2026-01-08,2036-01-07,E,E,appartement,1975-1977,13.7,Bourg-Saint-Maurice,73054,242.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0082003Z,2026-01-12,2036-01-11,D,B,appartement,avant 1948,39.4,Bourg-Saint-Maurice,73054,224.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0020764Q,2026-01-06,2036-01-05,D,C,appartement,1948-1974,28.7,Bourg-Saint-Maurice,73054,237.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0066931H,2026-01-10,2036-01-09,D,B,appartement,1978-1982,86.3,Tignes,73296,202.0,existant,Tignes
2673E0031419L,2026-01-07,2036-01-06,F,C,appartement,avant 1948,94.9,Bourg-Saint-Maurice,73054,413.4,existant,Les Arcs / Bourg-Saint-Maurice
2673E0051679R,2026-01-08,2036-01-07,E,B,appartement,1983-1988,23.3,Bourg-Saint-Maurice,73054,290.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0049991T,2026-01-08,2036-01-07,G,C,appartement,1983-1988,33.5,Bourg-Saint-Maurice,73054,642.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0035859F,2026-01-07,2036-01-06,D,D,appartement,1948-1974,89.0,Tignes,73296,125.0,existant,Tignes
2673E0034772K,2026-01-07,2036-01-06,G,G,appartement,1948-1974,35.7,Tignes,73296,359.0,existant,Tignes
2673E0076813J,2026-01-12,2036-01-11,E,B,appartement,1978-1982,48.5,Montvalezan,73176,268.0,existant,La Rosière
2673E0041290C,2026-01-07,2036-01-06,D,B,appartement,1989-2000,40.1,Bourg-Saint-Maurice,73054,201.2,existant,Les Arcs / Bourg-Saint-Maurice
2673E0007685P,2026-01-05,2036-01-04,D,D,maison,1948-1974,358.3,La Plagne Tarentaise,73150,238.0,existant,La Plagne
2673E0074040S,2026-01-12,2036-01-11,E,C,appartement,1978-1982,23.1,La Plagne Tarentaise,73150,372.0,existant,La Plagne
2673E0041646U,2026-01-08,2036-01-07,F,F,appartement,1948-1974,44.1,Val-D-Isère,73304,311.0,existant,Val d'Isère
2673E0034741F,2026-01-07,2036-01-06,G,G,appartement,1948-1974,52.8,Tignes,73296,348.3,existant,Tignes
2673E0043510M,2026-01-08,2036-01-07,E,E,appartement,1948-1974,34.5,Tignes,73296,179.0,existant,Tignes
2673E0034767F,2026-01-07,2036-01-06,G,G,appartement,1948-1974,39.6,Tignes,73296,355.9,existant,Tignes
2673E0051641F,2026-01-08,2036-01-07,F,F,appartement,1948-1974,79.1,Tignes,73296,292.0,existant,Tignes
2673E0041096Q,2026-01-07,2036-01-06,E,C,appartement,1983-1988,26.3,Bourg-Saint-Maurice,73054,377.1,existant,Les Arcs / Bourg-Saint-Maurice
2673E0034782U,2026-01-07,2036-01-06,G,G,appartement,1948-1974,52.2,Tignes,73296,348.7,existant,Tignes
2673E0034753R,2026-01-07,2036-01-06,G,G,appartement,1948-1974,19.8,Tignes,73296,383.8,existant,Tignes
2673E0034778Q,2026-01-07,2036-01-06,G,G,appartement,1948-1974,54.5,Tignes,73296,347.4,existant,Tignes
2673E0065433R,2026-01-10,2036-01-09,D,B,appartement,avant 1948,115.0,Bourg-Saint-Maurice,73054,227.0,existant,Les Arcs / Bourg-Saint-Maurice
2673E0034578Y,2026-01-07,2036-01-06,F,C,appartement,1978-1982,24.8,La Plagne Tarentaise,73150,484.0,existant,La Plagne
2673E0150012S,2026-01-19,2036-01-18,D,B,appartement,1948-1974,53.4,Bourg-Saint-Maurice,73054,224.0,existant,Les Arcs / Bourg-Saint-Maurice
