id,date,annee,mois,prix,nature_mutation,vefa,codtypbien,type_bien,surface_m2,code_commune,nb_lots,nb_appartements,nb_maisons,commune,prix_m2,altitude,station
1297,2014-06-26,2014,6,443000.0,Vente,False,121,UN APPARTEMENT,29.0,73304,1,1,0,Val-d-Isère,15275.86,1832,Val d'Isère
5025,2014-08-26,2014,8,1445000.0,Vente,False,121,UN APPARTEMENT,79.0,73304,1,1,0,Val-d-Isère,18291.14,1841,Val d'Isère
3395,2014-12-19,2014,12,191000.0,Vente,False,121,UN APPARTEMENT,42.0,73296,1,1,0,Tignes,4547.62,2106,Tignes
4721,2014-08-12,2014,8,95500.0,Vente,False,121,UN APPARTEMENT,27.0,73150,1,1,0,La Plagne Tarentaise,3537.04,2120,La Plagne
18250,2014-08-29,2014,8,188000.0,Vente,False,121,UN APPARTEMENT,62.0,73176,1,1,0,Montvalezan,3032.26,1811,La Rosière
10676,2014-03-31,2014,3,43400.0,Vente,False,121,UN APPARTEMENT,14.0,73150,1,1,0,La Plagne Tarentaise,3100.0,2093,La Plagne
15578,2014-02-03,2014,2,130000.0,Vente,False,121,UN APPARTEMENT,26.0,73150,1,1,0,La Plagne Tarentaise,5000.0,2054,La Plagne
16633,2014-07-31,2014,7,280800.0,Vente,False,121,UN APPARTEMENT,27.0,73304,1,1,0,Val-d-Isère,10400.0,1837,Val d'Isère
17592,2014-07-11,2014,7,90502.0,Vente,False,121,UN APPARTEMENT,31.0,73054,2,1,0,Bourg-Saint-Maurice,2919.42,1676,Les Arcs / Bourg-Saint-Maurice
18631,2014-05-28,2014,5,58000.0,Vente,False,121,UN APPARTEMENT,30.0,73054,1,1,0,Bourg-Saint-Maurice,1933.33,2129,Les Arcs / Bourg-Saint-Maurice
14308,2014-05-07,2014,5,184500.0,Vente,False,121,UN APPARTEMENT,44.0,73296,1,1,0,Tignes,4193.18,2110,Tignes
28612,2014-04-02,2014,4,91200.0,Vente,False,121,UN APPARTEMENT,30.0,73296,1,1,0,Tignes,3040.0,2110,Tignes
14899,2014-06-12,2014,6,280000.0,Vente,False,111,UNE MAISON,88.0,73054,1,0,1,Bourg-Saint-Maurice,3181.82,804,Les Arcs / Bourg-Saint-Maurice
20435,2014-12-30,2014,12,142500.0,Vente,False,121,UN APPARTEMENT,57.0,73150,1,1,0,La Plagne Tarentaise,2500.0,1995,La Plagne
24881,2014-03-08,2014,3,232300.0,Vente,False,121,UN APPARTEMENT,51.0,73296,1,1,0,Tignes,4554.9,1585,Tignes
27406,2014-12-05,2014,12,70000.0,Vente,False,121,UN APPARTEMENT,26.0,73054,2,1,0,Bourg-Saint-Maurice,2692.31,1676,Les Arcs / Bourg-Saint-Maurice
28830,2014-03-06,2014,3,290000.0,Vente,False,121,UN APPARTEMENT,51.0,73150,2,1,0,La Plagne Tarentaise,5686.27,2049,La Plagne
27749,2014-08-29,2014,8,64720.0,Vente,False,121,UN APPARTEMENT,24.0,73054,1,1,0,Bourg-Saint-Maurice,2696.67,835,Les Arcs / Bourg-Saint-Maurice
38382,2014-10-31,2014,10,78000.0,Vente,False,121,UN APPARTEMENT,22.0,73296,1,1,0,Tignes,3545.45,2134,Tignes
36459,2014-03-25,2014,3,66500.0,Vente,False,121,UN APPARTEMENT,25.0,73054,1,1,0,Bourg-Saint-Maurice,2660.0,1714,Les Arcs / Bourg-Saint-Maurice
38318,2014-08-29,2014,8,267000.0,Vente en l'état futur d'achèvement,True,121,UN APPARTEMENT,99.0,73054,2,1,0,Bourg-Saint-Maurice,2696.97,826,Les Arcs / Bourg-Saint-Maurice
39794,2014-07-25,2014,7,65000.0,Vente,False,121,UN APPARTEMENT,22.0,73054,1,1,0,Bourg-Saint-Maurice,2954.55,1590,Les Arcs / Bourg-Saint-Maurice
40320,2014-05-16,2014,5,330000.0,Vente,False,121,UN APPARTEMENT,97.0,73054,2,1,0,Bourg-Saint-Maurice,3402.06,826,Les Arcs / Bourg-Saint-Maurice
38275,2014-07-28,2014,7,129000.0,Vente,False,121,UN APPARTEMENT,40.0,73054,1,1,0,Bourg-Saint-Maurice,3225.0,1630,Les Arcs / Bourg-Saint-Maurice
39190,2014-12-19,2014,12,400000.0,Vente,False,121,UN APPARTEMENT,116.0,73054,2,1,0,Bourg-Saint-Maurice,3448.28,840,Les Arcs / Bourg-Saint-Maurice
42786,2014-08-14,2014,8,213000.0,Vente,False,121,UN APPARTEMENT,47.0,73054,1,1,0,Bourg-Saint-Maurice,4531.91,1691,Les Arcs / Bourg-Saint-Maurice
42100,2014-02-27,2014,2,521500.0,Vente,False,121,UN APPARTEMENT,62.0,73304,1,1,0,Val-d-Isère,8411.29,1887,Val d'Isère
47162,2014-08-08,2014,8,258940.0,Vente,False,121,UN APPARTEMENT,32.0,73296,2,1,0,Tignes,8091.88,2145,Tignes
47904,2014-05-27,2014,5,365000.0,Vente,False,111,UNE MAISON,118.0,73054,1,0,1,Bourg-Saint-Maurice,3093.22,970,Les Arcs / Bourg-Saint-Maurice
49648,2014-05-02,2014,5,26900.0,Vente,False,121,UN APPARTEMENT,13.0,73054,1,1,0,Bourg-Saint-Maurice,2069.23,1703,Les Arcs / Bourg-Saint-Maurice
52275,2014-01-31,2014,1,87500.0,Vente,False,121,UN APPARTEMENT,32.0,73054,2,1,0,Bourg-Saint-Maurice,2734.38,1604,Les Arcs / Bourg-Saint-Maurice
